;Package Name;Version
1;htmltools;0.4.0
2;htmlwidgets;1.5.1
3;jsonlite;1.6.1
4;magrittr;1.5
5;crosstalk;1.1.0.1
6;promises;1.1.0
7;broom;0.5.6
8;cli;2.0.2
9;crayon;1.3.4
10;dbplyr;1.4.3
11;dplyr;0.8.5
12;forcats;0.5.0
13;ggplot2;3.3.0
14;haven;2.2.0
15;hms;0.5.3
16;httr;1.4.1
17;lubridate;1.7.8
18;modelr;0.1.8
19;pillar;1.4.4
20;purrr;0.3.4
21;readr;1.3.1
22;readxl;1.3.1
23;reprex;0.3.0
24;rlang;0.4.6
25;rstudioapi;0.11
26;rvest;0.3.5
27;stringr;1.4.0
28;tibble;3.0.1
29;tidyr;1.0.3
30;xml2;1.3.2
31;selectr;0.4.2
32;methods;3.6.1
33;Rcpp;1.0.4.6
34;triebeard;0.3.0
35;rJava;0.9.12
36;xlsxjars;0.6.1
37;grDevices;3.6.1
38;utils;3.6.1
39;anytime;0.3.7
40;digest;0.6.25
41;curl;4.3
42;grid;3.6.1
43;gridExtra;2.3
44;scales;1.1.1
45;MASS;7.3.51.6
46;polynom;1.4.0
47;splus2R;1.2.2
48;plyr;1.8.6
49;xts;0.12.0
50;zoo;1.8.8
51;glue;1.4.1
52;gtable;0.3.0
53;isoband;0.2.1
54;mgcv;1.8.31
55;stats;3.6.1
56;withr;2.2.0
57;graphics;3.6.1
58;rlist;0.4.6.1
59;assertthat;0.2.1
60;quantmod;0.4.17
61;igraph;1.2.5
62;yaml;2.2.1
63;whisker;0.4
64;R6;2.4.1
65;shiny;1.4.0.2
66;httpuv;1.5.2
67;mime;0.9
68;xtable;1.8.4
69;sourcetools;0.1.7
70;later;1.0.0
71;tools;3.6.1
72;fastmap;1.0.1
73;NLP;0.2.0
74;parallel;3.6.1
75;slam;0.1.47
76;BH;1.72.0.3
77;base64enc;0.1.3
78;DT;0.13
79;tidyverse;1.3.0
80;rlang;0.4.6
81;rvest;0.3.5
82;xml2;1.3.2
83;urltools;1.7.3
84;xlsx;0.6.3
85;tidyRSS;1.2.11
86;feedeR;0.0.8
87;gtrendsR;1.4.6
88;ggpmisc;0.3.4
89;ggplot2;3.3.0
90;ggthemes;4.2.0
91;highcharter;0.7.0
92;waiter;0.1.0
93;shiny;1.4.0.2
94;shinythemes;1.1.2
95;shinyjs;1.1
96;shinydashboard;0.7.1
97;shinyWidgets;0.5.2
98;tm;0.7.7
99;wordcloud2;0.2.1
