"";"Package Name";"Version"
"1";"DT";"0.13"
"2";"tidyverse";"1.3.0"
"3";"rlang";"0.4.6"
"4";"rvest";"0.3.5"
"5";"xml2";"1.3.2"
"6";"urltools";"1.7.3"
"7";"xlsx";"0.6.3"
"8";"tidyRSS";"1.2.11"
"9";"feedeR";"0.0.8"
"10";"gtrendsR";"1.4.6"
"11";"ggpmisc";"0.3.4"
"12";"ggplot2";"3.3.0"
"13";"ggthemes";"4.2.0"
"14";"highcharter";"0.7.0"
"15";"waiter";"0.1.0"
"16";"shiny";"1.4.0.2"
"17";"shinythemes";"1.1.2"
"18";"shinyjs";"1.1"
"19";"shinydashboard";"0.7.1"
"20";"shinyWidgets";"0.5.2"
"21";"tm";"0.7.7"
"22";"wordcloud2";"0.2.1"
